rater_id,age,gender,region,prompt_id,prompt_name,model_name,text_legibility,cultural_fidelity,visual_realism,consent_status
R01,24,F,Delhi (North),1,Festive Kirana Sale,Gemini 3.1 Flash Preview,8,9,9,Yes
R01,24,F,Delhi (North),1,Festive Kirana Sale,OpenAI DALL-E 3,10,8,9,Yes
R01,24,F,Delhi (North),1,Festive Kirana Sale,Gemini 2.5 Flash,6,7,9,Yes
R01,24,F,Delhi (North),2,Local Chai Stall,Gemini 3.1 Flash Preview,8,9,8,Yes
R01,24,F,Delhi (North),2,Local Chai Stall,OpenAI DALL-E 3,10,8,8,Yes
R01,24,F,Delhi (North),2,Local Chai Stall,Gemini 2.5 Flash,7,8,7,Yes
R01,24,F,Delhi (North),3,Regional Samosa Banner,Gemini 3.1 Flash Preview,10,10,8,Yes
R01,24,F,Delhi (North),3,Regional Samosa Banner,OpenAI DALL-E 3,10,7,8,Yes
R01,24,F,Delhi (North),3,Regional Samosa Banner,Gemini 2.5 Flash,5,6,7,Yes
R02,28,M,Mumbai (West),1,Festive Kirana Sale,Gemini 3.1 Flash Preview,9,9,8,Yes
R02,28,M,Mumbai (West),1,Festive Kirana Sale,OpenAI DALL-E 3,9,7,8,Yes
R02,28,M,Mumbai (West),1,Festive Kirana Sale,Gemini 2.5 Flash,5,7,8,Yes
R02,28,M,Mumbai (West),2,Local Chai Stall,Gemini 3.1 Flash Preview,10,9,8,Yes
R02,28,M,Mumbai (West),2,Local Chai Stall,OpenAI DALL-E 3,9,8,8,Yes
R02,28,M,Mumbai (West),2,Local Chai Stall,Gemini 2.5 Flash,7,7,8,Yes
R02,28,M,Mumbai (West),3,Regional Samosa Banner,Gemini 3.1 Flash Preview,9,10,8,Yes
R02,28,M,Mumbai (West),3,Regional Samosa Banner,OpenAI DALL-E 3,10,7,9,Yes
R02,28,M,Mumbai (West),3,Regional Samosa Banner,Gemini 2.5 Flash,5,8,8,Yes
R03,31,F,Bangalore (South),1,Festive Kirana Sale,Gemini 3.1 Flash Preview,9,10,9,Yes
R03,31,F,Bangalore (South),1,Festive Kirana Sale,OpenAI DALL-E 3,10,8,8,Yes
R03,31,F,Bangalore (South),1,Festive Kirana Sale,Gemini 2.5 Flash,7,6,7,Yes
R03,31,F,Bangalore (South),2,Local Chai Stall,Gemini 3.1 Flash Preview,10,8,9,Yes
R03,31,F,Bangalore (South),2,Local Chai Stall,OpenAI DALL-E 3,10,8,8,Yes
R03,31,F,Bangalore (South),2,Local Chai Stall,Gemini 2.5 Flash,7,7,8,Yes
